CommonName,NDF-RT,ICD11Code,Drugs
Familial hypercholesterolemia,"['N0000147602', 'N0000148785', 'N0000186142', 'N0000186782']",X,"['LOVASTATIN', 'EZETIMIBE', 'LOMITAPIDE', 'MIPOMERSEN']"
Familial idiopathic pulmonary fibrosis,['N0000146229'],12,['PREDNISONE']
Familial type 3 hyperlipoproteinemia,['N0000148821'],X,['ROSUVASTATIN']
Fatigue,['N0000148602'],8,['MODAFINIL']
Febrile neutropenia,"['N0000147503', 'N0000148052', 'N0000148767']",4,"['CIPROFLOXACIN', 'VANCOMYCIN', 'VORICONAZOLE']"
Feeling agitated,"['N0000146205', 'N0000148001']",21,"['LORAZEPAM', 'PROPRANOLOL']"
Female hypogonadism syndrome,"['N0000145989', 'N0000146729']",X,"['ESTRADIOL', 'ESTROGENS,CONJUGATED']"
Female infertility due to ovulatory disorder,['N0000148513'],16,['LETROZOLE']
Female pelvic inflammatory disease,"['N0000146109', 'N0000146194']",16,"['DOXYCYCLINE', 'METRONIDAZOLE']"
Female sexual arousal disorder,['N0000022115'],X,['SILDENAFIL']
Fetal intrauterine distress noted before labor in liveborn infant,['N0000148026'],19,['TERBUTALINE']
Fetal tachycardia,"['N0000146388', 'N0000147701']",13,"['DIGOXIN', 'AMIODARONE']"
Fever,"['N0000006993', 'N0000145898', 'N0000145918', 'N0000146229', 'N0000146334', 'N0000147806']",1,"['IBUPROFEN', 'ACETAMINOPHEN', 'ASPIRIN', 'PREDNISONE', 'PREDNISOLONE', 'DICLOFENAC']"
Fibrosis of lung,"['N0000146334', 'N0000147069']",12,"['PREDNISOLONE', 'AZATHIOPRINE']"
Fibrous dysplasia of bone,['N0000148414'],20,['ALENDRONATE']
Focal onset epileptic seizure,"['N0000023107', 'N0000148345']",8,"['PREGABALIN', 'GABAPENTIN']"
Focal onset impaired awareness epileptic seizure,"['N0000146226', 'N0000147028']",8,"['CARBAMAZEPINE', 'VALPROIC ACID']"
Focal segmental glomerulosclerosis,['N0000147064'],11,['CYCLOSPORINE']
Follicular lymphoma,"['N0000148244', 'N0000148811']",2,"['FLUDARABINE', 'BORTEZOMIB']"
Fungal meningitis,['N0000148767'],1,['VORICONAZOLE']
Gallstone,['N0000147507'],X,['URSODIOL']
Ganglion of aponeurosis,['N0000145980'],13,['TRIAMCINOLONE']
Gastric ulcer,"['N0000146320', 'N0000147569', 'N0000148407', 'N0000148700']",13,"['FAMOTIDINE', 'OMEPRAZOLE', 'LANSOPRAZOLE', 'ESOMEPRAZOLE']"
Gastric ulcer with hemorrhage,"['N0000148654', 'N0000148700']",13,"['PANTOPRAZOLE', 'ESOMEPRAZOLE']"
Gastritis,['N0000146320'],13,['FAMOTIDINE']
Gastritis medicamentosa,['N0000148012'],X,['RANITIDINE']
Gastro-esophageal reflux disease with ulceration,"['N0000178337', 'N0000147923']",19,"['DEXLANSOPRAZOLE', 'METOCLOPRAMIDE']"
Gastroenteritis,['N0000147951'],1,['ONDANSETRON']
Gastroesophageal reflux disease,"['N0000146320', 'N0000148623', 'N0000147569', 'N0000148012', 'N0000148407', 'N0000148654', 'N0000148700', 'N0000178337', 'N0000147923']",13,"['FAMOTIDINE', 'RABEPRAZOLE', 'OMEPRAZOLE', 'RANITIDINE', 'LANSOPRAZOLE', 'PANTOPRAZOLE', 'ESOMEPRAZOLE', 'DEXLANSOPRAZOLE', 'METOCLOPRAMIDE']"
Gastroesophageal reflux disease with apnea,['N0000147923'],13,['METOCLOPRAMIDE']
Gastroesophageal reflux disease without esophagitis,['N0000147923'],13,['METOCLOPRAMIDE']
"Gastroesophageal reflux study, radiographic",['N0000147923'],19,['METOCLOPRAMIDE']
Gastrointestinal hemorrhage,"['N0000146183', 'N0000146320', 'N0000147569']",X,"['ISOSORBIDE DINITRATE', 'FAMOTIDINE', 'OMEPRAZOLE']"
Gastrointestinal stromal tumor,"['N0000148698', 'N0000171744', 'N0000176124']",2,"['IMATINIB', 'SUNITINIB', 'NILOTINIB']"
Gastroparesis syndrome,['N0000147923'],4,['METOCLOPRAMIDE']
Gender identity disorder,"['N0000145989', 'N0000146729']",6,"['ESTRADIOL', 'ESTROGENS,CONJUGATED']"
Generalized anxiety disorder,"['N0000021906', 'N0000022289', 'N0000147739', 'N0000148257', 'N0000148335', 'N0000148860']",6,"['VENLAFAXINE', 'ESCITALOPRAM', 'BUSPIRONE', 'SERTRALINE', 'PAROXETINE', 'DULOXETINE']"
Generalized atherosclerosis,"['N0000022046', 'N0000147784', 'N0000147924', 'N0000148200', 'N0000148821']",11,"['ATORVASTATIN', 'COLESTIPOL', 'METOPROLOL', 'SIMVASTATIN', 'ROSUVASTATIN']"
Genital warts,['N0000146166'],1,['FLUOROURACIL']
Genuine stress incontinence,['N0000148860'],6,['DULOXETINE']
Germ cell tumor,"['N0000022036', 'N0000146452', 'N0000146476', 'N0000146478', 'N0000148774']",X,"['GEMCITABINE', 'CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'OXALIPLATIN']"
Germ cell tumor of ovary,"['N0000146478', 'N0000148055', 'N0000148056']",X,"['ETOPOSIDE', 'VINBLASTINE', 'VINCRISTINE']"
Gestational diabetes mellitus,"['N0000021984', 'N0000146417', 'N0000148467', 'N0000148812']",5,"['METFORMIN', 'GLYBURIDE', 'INSULIN,LISPRO,HUMAN/RDNA', 'INSULIN,ASPART PROTAMINE']"
Gestational trophoblastic disease,['N0000146478'],18,['ETOPOSIDE']
Gestational trophoblastic neoplasia,"['N0000146452', 'N0000146476', 'N0000147072', 'N0000147916', 'N0000148056']",18,"['CYCLOPHOSPHAMIDE', 'CISPLATIN', 'CHLORAMBUCIL', 'METHOTREXATE', 'VINCRISTINE']"
Giant cell arteritis,['N0000146229'],4,['PREDNISONE']
Giant duodenal ulcer,['N0000147569'],13,['OMEPRAZOLE']
Giardiasis,['N0000146194'],1,['METRONIDAZOLE']
Gilles de la Tourette's syndrome,"['N0000146207', 'N0000146461', 'N0000148350', 'N0000148786', 'N0000146801', 'N0000177920']",4,"['CLONIDINE', 'HALOPERIDOL', 'RISPERIDONE', 'ARIPIPRAZOLE', 'PIMOZIDE', 'TETRABENAZINE']"
Glanders,['N0000146109'],1,['DOXYCYCLINE']
Glaucoma,"['N0000146166', 'N0000147924']",9,"['FLUOROURACIL', 'METOPROLOL']"
Glioblastoma multiforme,"['N0000022032', 'N0000148588']",14,"['IRINOTECAN', 'THALIDOMIDE']"
Glioblastoma multiforme of brain,"['N0000146473', 'N0000146478', 'N0000148845']",2,"['CARMUSTINE', 'ETOPOSIDE', 'BEVACIZUMAB']"
Glomerular disease,['N0000147835'],16,['ENALAPRIL']
Glossopharyngeal neuralgia,['N0000146226'],22,['CARBAMAZEPINE']
Gonorrhea,"['N0000007444', 'N0000146109', 'N0000147503']",14,"['MINOCYCLINE', 'DOXYCYCLINE', 'CIPROFLOXACIN']"
Gout,"['N0000006993', 'N0000146247', 'N0000147806', 'N0000148596', 'N0000145804', 'N0000145980', 'N0000146334', 'N0000146409', 'N0000147149', 'N0000181831']",13,"['IBUPROFEN', 'ALLOPURINOL', 'DICLOFENAC', 'CELECOXIB', 'UNKNOWN DRUG', 'TRIAMCINOLONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'NAPROXEN', 'PEGLOTICASE']"
Gouty arthropathy,"['N0000145804', 'N0000145980', 'N0000146334', 'N0000146409', 'N0000147149']",15,"['UNKNOWN DRUG', 'TRIAMCINOLONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'NAPROXEN']"
Graft versus host disease,"['N0000146229', 'N0000146409', 'N0000147064', 'N0000148406', 'N0000148560', 'N0000148588', 'N0000148590', 'N0000148372', 'N0000148832']",4,"['PREDNISONE', 'METHYLPREDNISOLONE', 'CYCLOSPORINE', 'MYCOPHENOLATE MOFETIL', 'RITUXIMAB', 'THALIDOMIDE', 'ETANERCEPT', 'TACROLIMUS', 'MYCOPHENOLIC ACID']"
Granular myringitis,['N0000146166'],10,['FLUOROURACIL']
Granuloma annulare,['N0000145980'],1,['TRIAMCINOLONE']
Granuloma inguinale,"['N0000146102', 'N0000146109', 'N0000147503', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'DOXYCYCLINE', 'CIPROFLOXACIN', 'TRIMETHOPRIM']"
Granulomatosis with polyangiitis,"['N0000146452', 'N0000148406', 'N0000148560', 'N0000148580']",23,"['CYCLOPHOSPHAMIDE', 'MYCOPHENOLATE MOFETIL', 'RITUXIMAB', 'INFLIXIMAB']"
Gynecomastia,['N0000148024'],X,['TAMOXIFEN']
Haemophilus influenzae infection,['N0000146932'],12,['RIFAMPIN']
Hairy cell leukemia (clinical),['N0000147072'],X,['CHLORAMBUCIL']
Headache,"['N0000006993', 'N0000145918', 'N0000147702']",8,"['IBUPROFEN', 'ASPIRIN', 'AMITRIPTYLINE']"
Hearing loss,['N0000146334'],10,['PREDNISOLONE']
Heart failure,"['N0000146388', 'N0000147701', 'N0000147924', 'N0000148603', 'N0000165034', 'N0000145994', 'N0000146155', 'N0000146183', 'N0000146188', 'N0000146234', 'N0000147537', 'N0000147662', 'N0000147835', 'N0000147869', 'N0000148336', 'N0000148359', 'N0000148401', 'N0000148456', 'N0000148505', 'N0000148533', 'N0000148627']",11,"['DIGOXIN', 'AMIODARONE', 'METOPROLOL', 'CANDESARTAN', 'OMEGA-3-ACID ETHYL ESTERS 1000MG CAP,ORAL [VA PRODUCT]', 'CAPTOPRIL', 'BUMETANIDE', 'ISOSORBIDE DINITRATE', 'FUROSEMIDE', 'SPIRONOLACTONE', 'LISINOPRIL', 'RAMIPRIL', 'ENALAPRIL', 'HYDRALAZINE', 'BENAZEPRIL', 'TORSEMIDE', 'LOSARTAN', 'VALSARTAN', 'CARVEDILOL', 'IRBESARTAN', 'PERINDOPRIL']"
Heartburn,"['N0000147569', 'N0000148407']",22,"['OMEPRAZOLE', 'LANSOPRAZOLE']"
Helicobacter pylori gastrointestinal tract infection,"['N0000146194', 'N0000146320', 'N0000147569', 'N0000148012', 'N0000148093', 'N0000148200', 'N0000148407', 'N0000148623', 'N0000148654', 'N0000148700']",X,"['METRONIDAZOLE', 'FAMOTIDINE', 'OMEPRAZOLE', 'RANITIDINE', 'CLARITHROMYCIN', 'SIMVASTATIN', 'LANSOPRAZOLE', 'RABEPRAZOLE', 'PANTOPRAZOLE', 'ESOMEPRAZOLE']"
Helicobacter-associated pyloric ulcer,['N0000147569'],13,['OMEPRAZOLE']
Hemangioma,['N0000148001'],2,['PROPRANOLOL']
Hemodialysis-associated pruritus,['N0000148345'],14,['GABAPENTIN']
Hemopoietic stem cell transplant,"['N0000146452', 'N0000147076', 'N0000147598', 'N0000148244']",2,"['CYCLOPHOSPHAMIDE', 'BUSULFAN', 'CARBOPLATIN', 'FLUDARABINE']"
Hemorrhoidectomy,['N0000145909'],1,['NITROGLYCERIN']
Hemorrhoids,['N0000146291'],14,['HYDROCORTISONE']
Henoch-Schönlein nephritis,['N0000146229'],1,['PREDNISONE']
Hepatic encephalopathy,['N0000148858'],13,['RIFAXIMIN']
Hepatitis B and hepatitis C,['N0000182738'],1,['BOCEPREVIR']
Hepatoblastoma,"['N0000146166', 'N0000146476', 'N0000146478', 'N0000147829', 'N0000148056']",13,"['FLUOROURACIL', 'CISPLATIN', 'ETOPOSIDE', 'DOXORUBICIN', 'VINCRISTINE']"
Herpes simplex,['N0000147496'],1,['RIBAVIRIN']
Herpes zoster,['N0000146229'],1,['PREDNISONE']
Herpes zoster ophthalmicus,['N0000146229'],1,['PREDNISONE']
Hiatal hernia with gastroesophageal reflux,['N0000147923'],19,['METOCLOPRAMIDE']
Hiccoughs,"['N0000006613', 'N0000146214', 'N0000147923']",21,"['BACLOFEN', 'CHLORPROMAZINE', 'METOCLOPRAMIDE']"
Hidradenitis,"['N0000145980', 'N0000148580', 'N0000148789']",13,"['TRIAMCINOLONE', 'INFLIXIMAB', 'ADALIMUMAB']"
Hidradenitis suppurativa,"['N0000148580', 'N0000148590']",13,"['INFLIXIMAB', 'ETANERCEPT']"
High altitude pulmonary edema,"['N0000146717', 'N0000021960']",12,"['NIFEDIPINE', 'SALMETEROL']"
High output ileostomy,['N0000147893'],11,['LOPERAMIDE']
Hirsutism,"['N0000146234', 'N0000147899', 'N0000148118', 'N0000148428']",1,"['SPIRONOLACTONE', 'MEDROXYPROGESTERONE', 'FINASTERIDE', 'BICALUTAMIDE']"
Hodgkin's disease (clinical),"['N0000021986', 'N0000022036', 'N0000146229', 'N0000146261', 'N0000146334', 'N0000146452', 'N0000146473', 'N0000146476', 'N0000146478', 'N0000147066', 'N0000147072', 'N0000147598', 'N0000147829', 'N0000148055', 'N0000148056', 'N0000148560', 'N0000148638']",1,"['VINORELBINE', 'GEMCITABINE', 'PREDNISONE', 'THIOTEPA', 'PREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'CISPLATIN', 'ETOPOSIDE', 'MELPHALAN', 'CHLORAMBUCIL', 'CARBOPLATIN', 'DOXORUBICIN', 'VINBLASTINE', 'VINCRISTINE', 'RITUXIMAB', 'EPIRUBICIN']"
Hormone receptor positive malignant neoplasm of breast,['N0000148427'],2,['ANASTROZOLE']
Hormone replacement therapy,['N0000148272'],9,['NORGESTIMATE']
Hospital acquired pneumonia,['N0000147503'],12,['CIPROFLOXACIN']
Hot sweats,"['N0000021906', 'N0000146207', 'N0000147852', 'N0000148335', 'N0000148345']",4,"['VENLAFAXINE', 'CLONIDINE', 'FLUOXETINE', 'PAROXETINE', 'GABAPENTIN']"
Human immunodeficiency virus I infection,['N0000022135'],X,['UNKNOWN DRUG']
Human immunodeficiency virus infection,"['N0000147622', 'N0000148418', 'N0000148587', 'N0000148672', 'N0000148369', 'N0000148436', 'N0000148461', 'N0000148716', 'N0000148813', 'N0000022135']",19,"['ZIDOVUDINE', 'LAMIVUDINE', 'EFAVIRENZ', 'LOPINAVIR', 'STAVUDINE (D4T)', 'RITONAVIR', 'NEVIRAPINE', 'TENOFOVIR', 'EMTRICITABINE', 'UNKNOWN DRUG']"
Humoral hypercalcemia of malignancy,"['N0000146229', 'N0000146273', 'N0000146409', 'N0000148254', 'N0000148414', 'N0000148713']",14,"['PREDNISONE', 'DEXAMETHASONE', 'METHYLPREDNISOLONE', 'PAMIDRONATE', 'ALENDRONATE', 'ZOLEDRONIC ACID']"
Huntington's chorea,"['N0000006613', 'N0000177920']",1,"['BACLOFEN', 'TETRABENAZINE']"
Hyperactive behavior,['N0000146461'],21,['HALOPERIDOL']
Hyperaldosteronism,['N0000146234'],5,['SPIRONOLACTONE']
Hypercalcemia,"['N0000146229', 'N0000148254', 'N0000148713']",9,"['PREDNISONE', 'PAMIDRONATE', 'ZOLEDRONIC ACID']"
Hypercalciuria,['N0000145995'],20,['HYDROCHLOROTHIAZIDE']
Hypercholesterolemia,"['N0000022046', 'N0000148554', 'N0000186782']",22,"['ATORVASTATIN', 'FENOFIBRATE', 'MIPOMERSEN']"
Hyperemesis gravidarum,"['N0000147816', 'N0000147951']",18,"['DIPHENHYDRAMINE', 'ONDANSETRON']"
Hyperglycemia,['N0000148812'],22,"['INSULIN,ASPART PROTAMINE']"
Hyperinsulinar obesity,['N0000021984'],11,['METFORMIN']
Hyperkalemia,"['N0000148026', 'N0000147099']",9,"['TERBUTALINE', 'ALBUTEROL']"
Hyperlipidemia,"['N0000148024', 'N0000148200', 'N0000148255', 'N0000148821', 'N0000021914', 'N0000022046', 'N0000147602', 'N0000147784', 'N0000148554', 'N0000148785']",22,"['TAMOXIFEN', 'SIMVASTATIN', 'PRAVASTATIN', 'ROSUVASTATIN', 'FLUVASTATIN', 'ATORVASTATIN', 'LOVASTATIN', 'COLESTIPOL', 'FENOFIBRATE', 'EZETIMIBE']"
Hyperlipoproteinemia,['N0000148554'],16,['FENOFIBRATE']
Hyperosmolar non-ketotic state due to diabetes mellitus,"['N0000148467', 'N0000148812']",5,"['INSULIN,LISPRO,HUMAN/RDNA', 'INSULIN,ASPART PROTAMINE']"
Hyperparathyroidism,['N0000148414'],5,['ALENDRONATE']
Hyperphosphatemia,['N0000022136'],22,['SEVELAMER']
Hypersecretion of ovarian androgens,['N0000021984'],5,['METFORMIN']
Hypersomnia with sleep apnea,['N0000148602'],7,['MODAFINIL']
Hypertension in the obstetric context,['N0000147869'],13,['HYDRALAZINE']
Hypertensive disorder,"['N0000021928', 'N0000146240', 'N0000146717', 'N0000147699', 'N0000147814', 'N0000147924', 'N0000148054', 'N0000148116', 'N0000148533', 'N0000023029', 'N0000145994', 'N0000145995', 'N0000146155', 'N0000146183', 'N0000146188', 'N0000146207', 'N0000146234', 'N0000146253', 'N0000146784', 'N0000147537', 'N0000147662', 'N0000147835', 'N0000147869', 'N0000147886', 'N0000148001', 'N0000148025', 'N0000148333', 'N0000148336', 'N0000148359', 'N0000148401', 'N0000148456', 'N0000148505', 'N0000148599', 'N0000148603', 'N0000148627', 'N0000176131']",11,"['BISOPROLOL', 'CHLORTHALIDONE', 'NIFEDIPINE', 'AMILORIDE', 'DILTIAZEM', 'METOPROLOL', 'VERAPAMIL', 'FELODIPINE', 'IRBESARTAN', 'OLMESARTAN', 'CAPTOPRIL', 'HYDROCHLOROTHIAZIDE', 'BUMETANIDE', 'ISOSORBIDE DINITRATE', 'FUROSEMIDE', 'CLONIDINE', 'SPIRONOLACTONE', 'TRIAMTERENE', 'ATENOLOL', 'LISINOPRIL', 'RAMIPRIL', 'ENALAPRIL', 'HYDRALAZINE', 'LABETALOL', 'PROPRANOLOL', 'TERAZOSIN', 'AMLODIPINE', 'BENAZEPRIL', 'TORSEMIDE', 'LOSARTAN', 'VALSARTAN', 'CARVEDILOL', 'TELMISARTAN', 'CANDESARTAN', 'PERINDOPRIL', 'NEBIVOLOL']"
Hypertensive emergency,['N0000146183'],11,['ISOSORBIDE DINITRATE']
Hypertensive encephalopathy,['N0000147886'],8,['LABETALOL']
Hypertensive urgency,['N0000147886'],11,['LABETALOL']
Hypertriglyceridemia,"['N0000022046', 'N0000148200', 'N0000148554', 'N0000148821', 'N0000165034']",22,"['ATORVASTATIN', 'SIMVASTATIN', 'FENOFIBRATE', 'ROSUVASTATIN', 'OMEGA-3-ACID ETHYL ESTERS 1000MG CAP,ORAL [VA PRODUCT]']"
Hypertrophic cardiomyopathy,"['N0000146717', 'N0000147814', 'N0000148054']",11,"['NIFEDIPINE', 'DILTIAZEM', 'VERAPAMIL']"
Hypertrophic obstructive cardiomyopathy,"['N0000147924', 'N0000148001']",11,"['METOPROLOL', 'PROPRANOLOL']"
Hyperuricemia,"['N0000146247', 'N0000148401', 'N0000148794']",22,"['ALLOPURINOL', 'LOSARTAN', 'RASBURICASE']"
Hypervitaminosis D,['N0000148414'],13,['ALENDRONATE']
Hypoadrenalism,"['N0000145980', 'N0000146229']",5,"['TRIAMCINOLONE', 'PREDNISONE']"
Hypocalcemia,['N0000020410'],9,['CALCIFEDIOL']
Hypogonadism,['N0000006226'],6,['TESTOSTERONE']
Hypokalemia,"['N0000148085', 'N0000146234', 'N0000146253', 'N0000147699']",9,"['CHLORIDE (AS POTASSIUM)', 'SPIRONOLACTONE', 'TRIAMTERENE', 'AMILORIDE']"
Hypothyroidism,['N0000020132'],5,['LEVOTHYROXINE']
INCOMPLETE,"['N0000006226', 'N0000007444', 'N0000021928', 'N0000021906', 'N0000021984', 'N0000022046', 'N0000022115', 'N0000022115', 'N0000022289', 'N0000145804', 'N0000145810', 'N0000145810', 'N0000145980', 'N0000145989', 'N0000145989', 'N0000145995', 'N0000146109', 'N0000146109', 'N0000146109', 'N0000146109', 'N0000146109', 'N0000146109', 'N0000146166', 'N0000146188', 'N0000146194', 'N0000146205', 'N0000146211', 'N0000146226', 'N0000146229', 'N0000146229', 'N0000146229', 'N0000146229', 'N0000146229', 'N0000146249', 'N0000146273', 'N0000146273', 'N0000146291', 'N0000146366', 'N0000146366', 'N0000146366', 'N0000146452', 'N0000146461', 'N0000146476', 'N0000146476', 'N0000146476', 'N0000146478', 'N0000146729', 'N0000146729', 'N0000146729', 'N0000146818', 'N0000146932', 'N0000147028', 'N0000147149', 'N0000147149', 'N0000147503', 'N0000147598', 'N0000147598', 'N0000147628', 'N0000147816', 'N0000147829', 'N0000147835', 'N0000147875', 'N0000147916', 'N0000147924', 'N0000147931', 'N0000147951', 'N0000147954', 'N0000147954', 'N0000148001', 'N0000148054', 'N0000148056', 'N0000148122', 'N0000148122', 'N0000148255', 'N0000148314', 'N0000148335', 'N0000148350', 'N0000148384', 'N0000148401', 'N0000148406', 'N0000148456', 'N0000148465', 'N0000148533', 'N0000148560', 'N0000148560', 'N0000148580', 'N0000148586', 'N0000148586', 'N0000148588', 'N0000148590', 'N0000148596', 'N0000148613', 'N0000148616', 'N0000148638', 'N0000148649', 'N0000148713', 'N0000148789', 'N0000179010', 'N0000023029', 'N0000145994', 'N0000146155', 'N0000146188', 'N0000146234', 'N0000147496', 'N0000147537', 'N0000147662', 'N0000147835', 'N0000148333', 'N0000148336', 'N0000148359', 'N0000148401', 'N0000148456', 'N0000148599', 'N0000148603', 'N0000148829', 'N0000146778', 'N0000146198', 'N0000146198', 'N0000146198', 'N0000146198', 'N0000146198', 'N0000146198', 'N0000147467', 'N0000178337', 'N0000147828', 'N0000147828', 'N0000147828', 'N0000147828', 'N0000147828', 'N0000177933', 'N0000147399', 'N0000147923', 'N0000147923', 'N0000148387', 'N0000148387', 'N0000148387', 'N0000148387', 'N0000148387', 'N0000148387', 'N0000148387', 'N0000176124', 'N0000180309', 'N0000147996', 'N0000148003', 'N0000148003', 'N0000148003', 'N0000148003', 'N0000148003', 'N0000148010', 'N0000147417', 'N0000022118', 'N0000148047', 'N0000148047', 'N0000148047', 'N0000148047', 'N0000148047', 'N0000148767', 'N0000148767']",18,"['TESTOSTERONE', 'MINOCYCLINE', 'BISOPROLOL', 'VENLAFAXINE', 'METFORMIN', 'ATORVASTATIN', 'SILDENAFIL', 'SILDENAFIL', 'ESCITALOPRAM', 'UNKNOWN DRUG', 'PHENOBARBITAL', 'PHENOBARBITAL', 'TRIAMCINOLONE', 'ESTRADIOL', 'ESTRADIOL', 'HYDROCHLOROTHIAZIDE', 'DOXYCYCLINE', 'DOXYCYCLINE', 'DOXYCYCLINE', 'DOXYCYCLINE', 'DOXYCYCLINE', 'DOXYCYCLINE', 'FLUOROURACIL', 'FUROSEMIDE', 'METRONIDAZOLE', 'LORAZEPAM', 'PHENYTOIN', 'CARBAMAZEPINE', 'PREDNISONE', 'PREDNISONE', 'PREDNISONE', 'PREDNISONE', 'PREDNISONE', 'SULFASALAZINE', 'DEXAMETHASONE', 'DEXAMETHASONE', 'HYDROCORTISONE', 'ETHINYL ESTRADIOL', 'ETHINYL ESTRADIOL', 'ETHINYL ESTRADIOL', 'CYCLOPHOSPHAMIDE', 'HALOPERIDOL', 'CISPLATIN', 'CISPLATIN', 'CISPLATIN', 'ETOPOSIDE', 'ESTROGENS,CONJUGATED', 'ESTROGENS,CONJUGATED', 'ESTROGENS,CONJUGATED', 'NORETHINDRONE', 'RIFAMPIN', 'VALPROIC ACID', 'NAPROXEN', 'NAPROXEN', 'CIPROFLOXACIN', 'CARBOPLATIN', 'CARBOPLATIN', 'GOSERELIN ACETATE', 'DIPHENHYDRAMINE', 'DOXORUBICIN', 'ENALAPRIL', 'IMIPRAMINE', 'METHOTREXATE', 'METOPROLOL', 'MOMETASONE', 'ONDANSETRON', 'OXYBUTYNIN', 'OXYBUTYNIN', 'PROPRANOLOL', 'VERAPAMIL', 'VINCRISTINE', 'FLUTICASONE PROPIONATE', 'FLUTICASONE PROPIONATE', 'PRAVASTATIN', 'PACLITAXEL', 'PAROXETINE', 'RISPERIDONE', 'BUDESONIDE', 'LOSARTAN', 'MYCOPHENOLATE MOFETIL', 'VALSARTAN', 'OLANZAPINE', 'IRBESARTAN', 'RITUXIMAB', 'RITUXIMAB', 'INFLIXIMAB', 'LEFLUNOMIDE', 'LEFLUNOMIDE', 'THALIDOMIDE', 'ETANERCEPT', 'CELECOXIB', 'ROSIGLITAZONE', 'PIOGLITAZONE', 'EPIRUBICIN', 'MELOXICAM', 'ZOLEDRONIC ACID', 'ADALIMUMAB', 'DROSPIRENONE', 'OLMESARTAN', 'CAPTOPRIL', 'BUMETANIDE', 'FUROSEMIDE', 'SPIRONOLACTONE', 'RIBAVIRIN', 'LISINOPRIL', 'RAMIPRIL', 'ENALAPRIL', 'AMLODIPINE', 'BENAZEPRIL', 'TORSEMIDE', 'LOSARTAN', 'VALSARTAN', 'TELMISARTAN', 'CANDESARTAN', 'TADALAFIL', 'CARISOPRODOL', 'CHLORPROPAMIDE', 'CHLORPROPAMIDE', 'CHLORPROPAMIDE', 'CHLORPROPAMIDE', 'CHLORPROPAMIDE', 'CHLORPROPAMIDE', 'DAPSONE', 'DEXLANSOPRAZOLE', 'DOXEPIN', 'DOXEPIN', 'DOXEPIN', 'DOXEPIN', 'DOXEPIN', 'ELTROMBOPAG', 'FLURBIPROFEN', 'METOCLOPRAMIDE', 'METOCLOPRAMIDE', 'NEFAZODONE', 'NEFAZODONE', 'NEFAZODONE', 'NEFAZODONE', 'NEFAZODONE', 'NEFAZODONE', 'NEFAZODONE', 'NILOTINIB', 'PAZOPANIB', 'PROPAFENONE', 'PROTRIPTYLINE', 'PROTRIPTYLINE', 'PROTRIPTYLINE', 'PROTRIPTYLINE', 'PROTRIPTYLINE', 'QUINIDINE', 'SUCCIMER', 'TOLTERODINE', 'TRIMIPRAMINE', 'TRIMIPRAMINE', 'TRIMIPRAMINE', 'TRIMIPRAMINE', 'TRIMIPRAMINE', 'VORICONAZOLE', 'VORICONAZOLE']"
Iatrogenic cervical spinal stenosis,['N0000146778'],X,['CARISOPRODOL']
Iatrogenic lumbar spinal stenosis,['N0000146778'],X,['CARISOPRODOL']
Iatrogenic thoracic spinal stenosis,['N0000146778'],X,['CARISOPRODOL']
Idiopathic cervical spinal stenosis,['N0000146778'],X,['CARISOPRODOL']
Idiopathic guttate hypomelanosis,"['N0000146291', 'N0000146409']",X,"['HYDROCORTISONE', 'METHYLPREDNISOLONE']"
Idiopathic hypereosinophilic syndrome,['N0000148698'],X,['IMATINIB']
Idiopathic lumbar spinal stenosis,['N0000146778'],X,['CARISOPRODOL']
Idiopathic micropapular urticaria,['N0000147828'],X,['DOXEPIN']
Idiopathic pulmonary hemosiderosis,['N0000146334'],X,['PREDNISOLONE']
Idiopathic thoracic spinal stenosis,['N0000146778'],X,['CARISOPRODOL']
Idiopathic urticaria,['N0000147828'],X,['DOXEPIN']
IgA nephropathy,"['N0000148401', 'N0000165034']",8,"['LOSARTAN', 'OMEGA-3-ACID ETHYL ESTERS 1000MG CAP,ORAL [VA PRODUCT]']"
Immune thrombocytopenia,"['N0000146229', 'N0000147069']",3,"['PREDNISONE', 'AZATHIOPRINE']"
Impaired cognition,"['N0000004713', 'N0000148456']",10,"['DONEPEZIL', 'VALSARTAN']"
Impulse control disorder,['N0000146207'],6,['CLONIDINE']
Inactive tuberculosis,"['N0000145890', 'N0000146932']",1,"['ISONIAZID', 'RIFAMPIN']"
Indigestion,"['N0000146320', 'N0000147569', 'N0000148012', 'N0000148623']",X,"['FAMOTIDINE', 'OMEPRAZOLE', 'RANITIDINE', 'RABEPRAZOLE']"
Infection by Campylobacter fetus,['N0000146109'],3,['DOXYCYCLINE']
Infection by Entamoeba,['N0000146194'],3,['METRONIDAZOLE']
Infection by Fasciola,['N0000146194'],3,['METRONIDAZOLE']
Infection by Trichomonas,['N0000146194'],3,['METRONIDAZOLE']
Infection by Yersinia enterocolitica,['N0000147503'],1,['CIPROFLOXACIN']
Infection caused by Enterobacteriaceae,['N0000146109'],3,['DOXYCYCLINE']
